Z [mm], Temperature [K]
0.000000, 300.857603
0.005000, 316.293630
0.045000, 331.603536
0.050000, 333.755191
0.055000, 337.809623
0.095000, 341.693744
0.100000, 342.129291
0.105000, 342.204979
0.190000, 342.251062
0.195000, 342.255927
0.200000, 342.486977
0.205000, 344.544574
0.245000, 346.595963
0.250000, 346.826142
0.255000, 346.866650
0.340000, 346.891044
0.345000, 346.893598
0.350000, 347.013759
0.355000, 348.083700
0.395000, 349.147691
0.400000, 349.267041
0.405000, 349.287395
0.490000, 349.288657
0.495000, 349.288663
0.500000, 349.282213
0.505000, 349.224156
0.545000, 349.162865
0.550000, 349.156006
0.555000, 349.155613
0.595000, 349.155412
