Z [mm], Temperature [K]
0.000000, 301.713535
0.005000, 317.133669
0.045000, 332.419983
0.050000, 334.568195
0.055000, 338.615256
0.095000, 342.486010
0.100000, 342.920040
0.105000, 342.995311
0.190000, 343.039702
0.195000, 343.044389
0.200000, 343.267158
0.205000, 345.251007
0.245000, 347.228503
0.250000, 347.450387
0.255000, 347.489381
0.340000, 347.512716
0.345000, 347.515168
0.350000, 347.630996
0.355000, 348.662403
0.395000, 349.688269
0.400000, 349.803342
0.405000, 349.822944
0.490000, 349.824062
0.495000, 349.824058
0.500000, 349.817390
0.505000, 349.757417
0.545000, 349.694505
0.550000, 349.687466
0.555000, 349.687063
0.595000, 349.686861
0.600000, 349.683924
