Z [mm], Temperature [K]
0.000000, 301.711673
0.005000, 317.115238
0.045000, 332.400128
0.050000, 334.548676
0.055000, 338.600457
0.095000, 342.513179
0.100000, 342.952553
0.105000, 343.040309
0.190000, 343.296910
0.195000, 343.326692
0.200000, 343.538233
0.205000, 345.428952
0.245000, 347.369283
0.250000, 347.587663
0.255000, 347.637686
0.340000, 347.872423
0.345000, 347.899883
0.350000, 348.000251
0.355000, 348.900828
0.395000, 349.851859
0.400000, 349.959199
0.405000, 349.989052
0.490000, 350.200388
0.495000, 350.225247
0.500000, 350.195172
0.505000, 349.933225
0.545000, 349.702548
0.550000, 349.676804
0.555000, 349.675406
0.595000, 349.675095
0.600000, 349.672146
