Z [mm], Temperature [K]
0.000000, 300.856825
0.005000, 316.278937
0.045000, 331.590084
0.050000, 333.742459
0.055000, 337.802409
0.095000, 341.729909
0.100000, 342.170959
0.105000, 342.259175
0.190000, 342.517561
0.195000, 342.547524
0.200000, 342.767201
0.205000, 344.730340
0.245000, 346.743413
0.250000, 346.969959
0.255000, 347.021488
0.340000, 347.257372
0.345000, 347.284939
0.350000, 347.389608
0.355000, 348.328421
0.395000, 349.317442
0.400000, 349.429045
0.405000, 349.459656
0.490000, 349.671163
0.495000, 349.696030
0.500000, 349.665832
0.505000, 349.402745
0.545000, 349.170577
0.550000, 349.144665
0.555000, 349.143258
0.595000, 349.142947
